date,rank,id,brand,name,price,badge,link
"2026-04-20","98","1058331256","ISEHAN","Kiss Me Heroine Make Speedy Mascara Remover Blue Packing","₩ 14,221","","https://www.yesstyle.com/en/isehan-kiss-me-heroine-make-speedy-mascara-remover-blue-packing-6/info.html/pid.1058331256"
"2026-04-20","99","1050282216","Elizavecca","Milky Piggy CER-100 Collagen Ceramide Coating Protein Treatment","₩ 18,422","","https://www.yesstyle.com/en/elizavecca-milky-piggy-cer-100-collagen-ceramide-coating-protein-treatment/info.html/pid.1050282216"
"2026-04-20","100","1135919200","Derma: B","Everyday Sun Block","₩ 31,674","","https://www.yesstyle.com/en/derma-b-everyday-sun-block-200ml/info.html/pid.1135919200"
"2026-04-20","101","1102347736","haruharu wonder","Black Rice Hyaluronic Toner Fragrance Free","₩ 27,310","","https://www.yesstyle.com/en/haruharu-wonder-black-rice-hyaluronic-toner-fragrance-free-150ml/info.html/pid.1102347736"
"2026-04-20","102","1118864369","mixsoon","Bean Cleansing Oil Jumbo","₩ 33,613","","https://www.yesstyle.com/en/mixsoon-bean-cleansing-oil-jumbo-195ml/info.html/pid.1118864369"
"2026-04-20","103","1129049939","Beauty of Joseon","Glow Replenishing Rice Milk","₩ 35,714","","https://www.yesstyle.com/en/beauty-of-joseon-glow-replenishing-rice-milk-150ml/info.html/pid.1129049939"
"2026-04-20","104","1127631957","VT","Reedle Shot Lifting Eye Cream","₩ 29,250","","https://www.yesstyle.com/en/vt-reedle-shot-lifting-eye-cream-15ml/info.html/pid.1127631957"
"2026-04-20","105","1134538838","SKIN1004","Lab in Nature Madagascar Centella Retinol 0.2 Boosting Shot Ampoule","₩ 27,957","","https://www.yesstyle.com/en/skin1004-lab-in-nature-madagascar-centella-retinol-0-2-boosting-shot/info.html/pid.1134538838"
"2026-04-20","106","1131989391","Biodance","Bio-Collagen Real Deep Mask Set","₩ 33,613","","https://www.yesstyle.com/en/biodance-bio-collagen-real-deep-mask-set-34g-x-4-sheets/info.html/pid.1131989391"
"2026-04-20","107","1137150337","Anua","Azelaic Acid 10 Hyaluron Redness Soothing Serum Bundle Set","₩ 64,963","","https://www.yesstyle.com/en/anua-azelaic-acid-10-hyaluron-redness-soothing-serum-bundle-set-2/info.html/pid.1137150337"
"2026-04-20","108","1118209026","mixsoon","Centella Sun Cream","₩ 18,907","","https://www.yesstyle.com/en/mixsoon-centella-sun-cream-50g/info.html/pid.1118209026"
"2026-04-20","109","1129917449","Anua","7 Rice Ceramide Hydrating Barrier Serum","₩ 31,997","","https://www.yesstyle.com/en/anua-7-rice-ceramide-hydrating-barrier-serum-50ml/info.html/pid.1129917449"
"2026-04-20","110","1124066765","medicube","Collagen Lifting Mask","₩ 7,757","","https://www.yesstyle.com/en/medicube-collagen-lifting-mask-27g/info.html/pid.1124066765"
"2026-04-20","111","1100580255","UNLEASHIA","Glitterpedia Eye Palette - 9 Types","₩ 32,158","","https://www.yesstyle.com/en/unleashia-glitterpedia-eye-palette-9-types-n-1-all-of-glitter/info.html/pid.1100580255"
"2026-04-20","112","1134551762","Anua","Heartleaf 77 Soothing Toner","₩ 38,946","","https://www.yesstyle.com/en/anua-heartleaf-77-soothing-toner-250ml/info.html/pid.1134551762"
"2026-04-20","113","1133078348","Beauty of Joseon","Revive Eye Serum Mini","₩ 10,019","","https://www.yesstyle.com/en/beauty-of-joseon-revive-eye-serum-mini-10ml/info.html/pid.1133078348"
"2026-04-20","114","1125812344","MEDIPEEL","Peptide 9 Volume And Tension Tox Cream Pro","₩ 32,643","","https://www.yesstyle.com/en/medipeel-peptide-9-volume-and-tension-tox-cream-pro-50g/info.html/pid.1125812344"
"2026-04-20","115","1136172558","SUNGBOON EDITOR","Silk Peptide Intensive Lifting Ampoule","₩ 24,725","","https://www.yesstyle.com/en/sungboon-editor-silk-peptide-intensive-lifting-ampoule-30ml/info.html/pid.1136172558"
"2026-04-20","116","1133254182","CELDYQUE","Volufiline 100%","₩ 23,755","","https://www.yesstyle.com/en/celdyque-volufiline-100-10ml/info.html/pid.1133254182"
"2026-04-20","117","1131568454","EQQUALBERRY","Bakuchiol Plumping Serum","₩ 35,714","","https://www.yesstyle.com/en/eqqualberry-bakuchiol-plumping-serum-30ml/info.html/pid.1131568454"
"2026-04-20","118","1105987486","mixsoon","Bean Cream","₩ 38,946","","https://www.yesstyle.com/en/mixsoon-bean-cream-50ml/info.html/pid.1105987486"
"2026-04-20","119","1112455824","haruharu wonder","Black Rice Bakuchiol Eye Cream","₩ 19,877","","https://www.yesstyle.com/en/haruharu-wonder-black-rice-bakuchiol-eye-cream-20ml/info.html/pid.1112455824"
"2026-04-20","120","1134315119","haruharu wonder","Black Rice Moisture Deep Cleansing Oil","₩ 32,482","","https://www.yesstyle.com/en/haruharu-wonder-black-rice-moisture-deep-cleansing-oil-150ml/info.html/pid.1134315119"
"2026-04-20","121","1137514354","SKIN1004","Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Twin Pack 2pcs Bundle Set","₩ 81,446","","https://www.yesstyle.com/en/skin1004-madagascar-centella-hyalu-cica-water-fit-sun-serum-twin-pack/info.html/pid.1137514354"
"2026-04-20","122","1132449410","Anua","PDRN Hyaluronic Acid Capsule 100 Serum","₩ 38,138","","https://www.yesstyle.com/en/anua-pdrn-hyaluronic-acid-capsule-100-serum-30ml/info.html/pid.1132449410"
"2026-04-20","123","1136684590","fwee","Rose Obsession Stay-Fit Lip Tint - 18 Colors","₩ 27,472","","https://www.yesstyle.com/en/fwee-rose-obsession-stay-fit-lip-tint-18-colors-gw01-honey-rose/info.html/pid.1136684590"
"2026-04-20","124","1128770343","fwee","3D Voluming Gloss - 21 Colors","₩ 27,472","","https://www.yesstyle.com/en/fwee-3d-voluming-gloss-21-colors-b06-scotch-70/info.html/pid.1128770343"
"2026-04-20","125","1129746067","medicube","Zero Pore Blackhead Mud Mask","₩ 25,856","","https://www.yesstyle.com/en/medicube-zero-pore-blackhead-mud-mask-100g/info.html/pid.1129746067"
"2026-04-20","126","1133085504","mixsoon","9-Step Trial Kit","₩ 7,159","","https://www.yesstyle.com/en/mixsoon-9-step-trial-kit-9-pcs/info.html/pid.1133085504"
"2026-04-20","127","1060762174","d'Alba","White Truffle First Spray Serum Mini","₩ 27,472","","https://www.yesstyle.com/en/dalba-white-truffle-first-spray-serum-mini-50ml/info.html/pid.1060762174"
"2026-04-20","128","1113888114","SKIN1004","Madagascar Centella Tea-Trica Relief Ampoule","₩ 37,330","","https://www.yesstyle.com/en/skin1004-madagascar-centella-tea-trica-relief-ampoule-100ml/info.html/pid.1113888114"
"2026-04-20","129","1135918971","EQQUALBERRY","NAD+ Peptide Boosting Serum","₩ 35,714","","https://www.yesstyle.com/en/eqqualberry-nad-peptide-boosting-serum-30ml/info.html/pid.1135918971"
"2026-04-20","130","1133538031","The Ordinary","Glycolic Acid 7% Exfoliating Toner","₩ 31,674","","https://www.yesstyle.com/en/the-ordinary-glycolic-acid-7-exfoliating-toner-100ml/info.html/pid.1133538031"
"2026-04-20","131","1120208639","SKIN1004","Madagascar Centella Probio-Cica Essence Toner","₩ 33,936","","https://www.yesstyle.com/en/skin1004-madagascar-centella-probio-cica-essence-toner-210ml/info.html/pid.1120208639"
"2026-04-20","132","1128692848","TIRTIR","Mask Fit Make Up Fixer","₩ 24,240","","https://www.yesstyle.com/en/tirtir-mask-fit-make-up-fixer-80ml/info.html/pid.1128692848"
"2026-04-20","133","1137473930","Dr.Melaxin","Cemenrete Calcium Volume Multi Balm","₩ 62,054","","https://www.yesstyle.com/en/dr-melaxin-cemenrete-calcium-volume-multi-balm-9g/info.html/pid.1137473930"
"2026-04-20","134","1129649866","S.NATURE","Aqua Squalane Moisturizing Cream","₩ 35,358","","https://www.yesstyle.com/en/s-nature-aqua-squalane-moisturizing-cream-60ml/info.html/pid.1129649866"
"2026-04-20","135","1113064814","SKIN1004","Madagascar Centella Air-Fit Suncream Plus","₩ 24,886","","https://www.yesstyle.com/en/skin1004-madagascar-centella-air-fit-suncream-plus-50ml/info.html/pid.1113064814"
"2026-04-20","136","1067104673","I'm from","Mugwort Essence","₩ 51,066","","https://www.yesstyle.com/en/im-from-mugwort-essence-160ml/info.html/pid.1067104673"
"2026-04-20","137","1135918989","Anua","YesStyle Exclusive Double Cleansing Duo Set","₩ 48,642","","https://www.yesstyle.com/en/anua-yesstyle-exclusive-double-cleansing-duo-set-2-pcs/info.html/pid.1135918989"
"2026-04-20","138","1117864233","beplain","Mung Bean Cleansing Oil Jumbo","₩ 36,683","","https://www.yesstyle.com/en/beplain-mung-bean-cleansing-oil-jumbo-200ml/info.html/pid.1117864233"
"2026-04-20","139","1112362628","AROMATICA","Rosemary Root Enhancer","₩ 26,341","","https://www.yesstyle.com/en/aromatica-rosemary-root-enhancer-new-100ml/info.html/pid.1112362628"
"2026-04-20","140","1074112897","ROUND LAB","1025 Dokdo Toner","₩ 29,573","","https://www.yesstyle.com/en/round-lab-1025-dokdo-toner-200ml/info.html/pid.1074112897"
"2026-04-20","141","1105987485","mixsoon","Glacier Water Hyaluronic Acid Serum Jumbo","₩ 40,562","","https://www.yesstyle.com/en/mixsoon-glacier-water-hyaluronic-acid-serum-jumbo-300ml/info.html/pid.1105987485"
"2026-04-20","142","1136280232","Dr. Althea","Aqua Marine Jelly Mist","₩ 32,158","","https://www.yesstyle.com/en/dr-althea-aqua-marine-jelly-mist-100ml/info.html/pid.1136280232"
"2026-04-20","143","1124328310","Judydoll","2 IN 1 Highlighter Contour Palette - 3 Colors","₩ 28,765","","https://www.yesstyle.com/en/judydoll-2-in-1-highlighter-contour-palette-3-colors-02-wood-9g/info.html/pid.1124328310"
"2026-04-20","144","1087081998","Beauty of Joseon","Centella Asiatica Calming Mask","₩ 7,272","","https://www.yesstyle.com/en/beauty-of-joseon-centella-asiatica-calming-mask-25ml-x-1-pc/info.html/pid.1087081998"
"2026-04-20","145","1128135752","SOME BY MI","Cica Peptide Anti Hair Loss Derma Scalp Tonic","₩ 33,290","","https://www.yesstyle.com/en/some-by-mi-cica-peptide-anti-hair-loss-derma-scalp-tonic-2024-version/info.html/pid.1128135752"
"2026-04-20","146","1131069920","House of Hur","Moist Ampoule Blusher Mini - 9 Colors","₩ 14,706","","https://www.yesstyle.com/en/house-of-hur-moist-ampoule-blusher-mini-9-colors-01-nude-beige/info.html/pid.1131069920"
"2026-04-20","147","1113521174","Isntree","Hyaluronic Acid Moist Cream","₩ 35,875","","https://www.yesstyle.com/en/isntree-hyaluronic-acid-moist-cream-80ml/info.html/pid.1113521174"
"2026-04-20","148","1136909397","Dinto","Blur-Glowy Lip Tint - 34 Colors","₩ 19,554","","https://www.yesstyle.com/en/dinto-blur-glowy-lip-tint-34-colors-201-nobilitas/info.html/pid.1136909397"
"2026-04-20","149","1134574158","Anua","Niacinamide 10 TXA 4 Serum Bundle Set","₩ 64,963","","https://www.yesstyle.com/en/anua-niacinamide-10-txa-4-serum-bundle-set-2-pcs/info.html/pid.1134574158"
